alpha_2,region,,flag,大洲:,origin name,Let's Go,,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18
BE,比利时,其他,https://www.fluentpython.com/data/flags/be/be.gif,欧洲,Belgium,0,0,0,1,2,2,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,7,8,9,10,10,10,11,12,13,14,15,17,19,21,23,24,27,31,35,38,40,42,44,46,48,50,52,54,55,57,59,61,63,65,69,78,86,92,98,102,108,114,122,133,143,160,171,271,343,410,469,518,564,606,639,672,701,729,755,780,801,820,839,856,875,892,908,908,908,908
AO,安哥拉,其他,https://www.fluentpython.com/data/flags/ao/ao.gif,非洲,Angola,0,0,0,0,0,1,2,3,4,5,5,5,7,8,8,8,8,8,8,8,9,9,10,10,10,10,11,12,12,13,14,15,15,15,17,17,19,21,22,24,25,25,27,28,30,31,32,32,32,32,32,34,35,37,39,41,45,48,53,58,59,61,63,69,72,78,82,93,193,284,360,415,467,515,560,604,638,666,702,731,756,782,803,829,848,864,882,902,902,902,902
MZ,莫桑比克,其他,https://www.fluentpython.com/data/flags/mz/mz.gif,非洲,Mozambique,0,0,0,0,1,1,1,1,2,2,2,2,2,2,4,4,5,5,5,6,6,7,8,9,10,10,11,11,11,12,14,16,17,18,19,20,22,25,27,29,36,37,38,41,42,44,45,46,46,48,50,52,53,54,56,59,62,63,67,75,78,80,81,82,87,93,102,108,192,292,369,434,493,537,586,627,668,700,725,740,762,786,806,824,839,857,873,896,896,896,896
NG,尼日利亚,其他,https://www.fluentpython.com/data/flags/ng/ng.gif,非洲,Nigeria,0,0,1,2,3,4,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,24,25,25,26,27,28,29,30,31,32,34,36,38,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,57,61,65,69,71,74,77,80,83,87,91,97,103,193,293,365,431,496,549,592,636,675,701,726,753,774,792,809,826,840,855,873,889,889,889,889
LK,斯里兰卡,其他,https://www.fluentpython.com/data/flags/lk/lk.gif,亚洲,Sri Lanka,0,0,0,1,1,1,3,4,4,5,6,7,7,8,8,8,9,10,10,11,11,12,13,14,15,16,17,18,19,20,20,21,22,24,25,26,27,30,32,34,37,38,40,41,43,45,46,48,50,52,55,56,57,59,60,62,66,73,81,88,93,97,101,106,113,119,129,140,224,324,402,476,542,597,647,683,706,730,752,772,788,807,823,834,847,859,872,883,883,883,883
SY,叙利亚,其他,https://www.fluentpython.com/data/flags/sy/sy.gif,亚洲,Syria,0,0,1,2,3,5,6,7,7,8,8,9,9,10,12,13,14,15,16,17,18,19,19,19,19,19,19,21,22,22,23,25,26,27,28,29,30,32,33,34,35,37,38,38,39,41,43,44,45,46,47,49,51,52,53,57,64,72,81,90,99,106,115,128,136,145,156,166,266,343,395,451,499,542,580,617,651,682,709,726,753,771,788,810,831,848,863,880,880,880,880
AM,亚美尼亚,其他,https://www.fluentpython.com/data/flags/am/am.gif,亚洲,Armenia,0,0,3,6,7,8,10,12,15,18,21,23,25,25,28,30,31,35,37,39,42,43,44,46,50,52,54,56,59,60,61,64,66,68,72,74,77,84,89,92,97,100,103,105,108,111,113,115,118,122,126,129,133,135,137,140,145,152,157,165,171,178,190,200,208,223,240,249,349,416,465,512,557,589,628,659,689,713,732,754,773,786,798,816,836,852,863,875,875,875,875
PS,巴勒斯坦,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Palestine.svg/250px-Flag_of_Palestine.svg.png,亚洲,Palestine,0,0,1,3,5,6,7,10,12,13,14,15,15,17,18,18,19,22,24,25,28,29,31,32,33,35,35,36,36,38,40,41,42,45,47,50,52,54,58,61,63,65,67,72,73,76,77,81,82,84,86,89,91,93,95,108,152,175,196,210,218,231,242,252,263,272,287,297,397,476,539,582,609,638,669,699,723,737,760,778,795,805,818,830,845,853,860,869,869,869,869
GE,格鲁吉亚,其他,https://www.fluentpython.com/data/flags/ge/ge.gif,亚洲,Georgia,0,0,1,3,4,5,6,8,10,11,14,15,17,19,21,22,24,26,28,30,32,34,35,37,39,40,41,43,44,46,48,50,53,56,59,66,73,82,87,91,95,98,100,102,105,108,112,114,117,120,122,125,127,129,132,138,145,151,156,162,167,173,181,189,195,205,219,229,329,404,463,521,557,594,628,656,684,707,730,748,763,778,793,809,823,840,855,868,868,868,868
RO,罗马尼亚,其他,https://www.fluentpython.com/data/flags/ro/ro.gif,欧洲,Romania,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,13,14,15,15,16,16,17,18,19,20,21,22,23,24,25,26,28,31,36,44,50,55,59,63,66,69,71,73,75,77,78,80,82,83,84,85,86,87,88,89,91,97,102,107,114,119,125,130,136,143,151,161,169,269,338,404,463,517,564,604,639,669,697,721,744,763,780,796,810,824,838,851,863,863,863,863
NL,荷兰,其他,https://www.fluentpython.com/data/flags/nl/nl.gif,欧洲,Netherlands,0,0,1,1,2,3,4,5,5,5,6,6,6,6,7,8,9,9,9,9,10,11,12,13,14,15,16,17,18,19,20,21,23,25,27,30,33,37,40,43,45,47,48,50,51,53,55,56,58,59,60,61,62,63,64,68,78,85,90,95,99,103,107,112,121,129,147,156,256,314,366,419,463,502,537,568,599,626,652,680,701,720,737,753,768,784,799,812,860,860,860
BY,白俄罗斯,其他,https://www.fluentpython.com/data/flags/by/by.gif,欧洲,Belarus,0,0,1,3,4,5,7,9,11,12,14,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,56,58,60,62,64,67,70,73,75,78,81,84,86,88,90,92,95,97,99,101,103,105,107,109,112,116,120,124,128,132,136,142,147,155,168,177,277,341,396,452,509,551,591,626,653,679,701,725,744,761,777,794,810,826,840,854,854,854,854
AF,阿富汗,其他,https://www.fluentpython.com/data/flags/af/af.gif,亚洲,Afghanistan,0,0,0,2,3,6,8,8,9,10,10,10,10,10,11,12,13,14,14,15,16,16,16,16,17,19,20,23,26,26,27,27,31,34,39,42,43,47,55,60,64,66,70,73,74,79,79,79,83,84,87,87,88,89,89,99,107,114,119,125,134,137,141,148,152,156,172,179,279,359,434,481,522,565,602,626,658,678,696,721,736,750,765,782,799,818,836,848,848,848,848
KR,韩国,其他,https://www.fluentpython.com/data/flags/kr/kr.gif,亚洲,South Korea,0,0,1,2,3,4,5,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,37,39,41,46,54,59,62,65,68,70,72,74,76,78,80,82,84,86,89,90,92,97,111,123,137,153,162,179,188,197,207,219,240,255,355,419,479,530,574,608,637,662,685,705,723,743,761,775,788,801,812,823,835,847,847,847,847
HR,克罗地亚,其他,https://www.fluentpython.com/data/flags/hr/hr.gif,欧洲,Croatia,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,6,8,19,20,21,23,24,26,28,31,34,38,41,43,45,47,48,49,50,52,53,54,55,56,57,58,59,61,66,71,74,77,80,84,87,91,96,101,110,118,212,283,345,402,446,482,515,543,569,592,613,630,644,659,674,692,707,722,735,746,846,846,846
DJ,吉布提,其他,https://www.fluentpython.com/data/flags/dj/dj.gif,非洲,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,15,15,15,15,15,15,15,15,15,15,15,15,15,23,31,31,31,38,38,46,46,46,46,46,46,54,61,61,61,61,61,61,61,61,61,69,76,76,83,90,90,90,98,119,119,126,126,224,324,418,438,488,559,603,686,710,726,733,741,755,762,769,777,785,799,813,844,844,844,844
IQ,伊拉克,其他,https://www.fluentpython.com/data/flags/iq/iq.gif,亚洲,Iraq,0,0,1,2,4,5,6,7,8,10,11,13,14,15,16,16,17,18,19,20,21,22,23,24,25,26,27,27,27,28,29,30,31,32,33,34,36,38,41,43,45,47,50,52,54,55,57,59,60,61,63,65,66,68,71,78,98,115,131,142,149,155,161,169,174,182,192,198,298,388,451,506,548,587,620,647,672,696,718,739,754,767,779,793,807,819,830,842,842,842,842
AU,澳大利亚,其他,https://www.fluentpython.com/data/flags/au/au.gif,澳洲,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,7,9,11,15,20,24,27,29,31,33,35,36,37,38,39,40,41,42,43,44,45,47,53,60,66,74,80,86,94,104,115,126,143,160,260,344,418,481,534,572,602,628,653,675,696,715,731,747,762,777,791,806,820,833,841,841,841
ZW,津巴布韦,其他,https://www.fluentpython.com/data/flags/zw/zw.gif,非洲,Zimbabwe,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,5,5,6,6,7,8,9,9,10,11,11,11,12,13,15,16,17,18,20,22,23,24,25,26,27,28,28,29,30,32,33,35,38,40,42,45,47,50,52,54,56,60,68,73,161,261,329,383,442,496,536,566,600,628,649,674,697,725,745,768,784,801,821,838,838,838,838
ET,埃塞俄比亚,其他,https://www.fluentpython.com/data/flags/et/et.gif,非洲,Ethiopia,0,0,1,2,4,5,5,6,7,8,8,9,9,10,10,11,12,12,13,14,15,15,15,15,15,15,15,16,17,17,17,18,19,22,22,22,23,25,28,31,32,33,34,35,37,38,39,39,41,42,43,44,45,48,49,50,53,58,63,72,75,78,82,86,88,94,107,115,196,296,364,433,476,524,564,614,641,672,690,714,730,750,769,782,797,810,824,834,834,834,834
FI,芬兰,其他,https://www.fluentpython.com/data/flags/fi/fi.gif,欧洲,Finland,0,0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,17,17,18,18,19,20,21,22,23,24,26,27,28,29,30,32,34,36,38,39,41,43,45,47,48,50,52,53,54,55,56,57,58,61,63,65,66,67,72,80,87,93,97,101,107,111,119,126,134,153,167,267,330,393,449,498,538,573,602,628,654,677,698,717,733,750,765,784,801,815,827,827,827,827
US,美国,其他,https://www.fluentpython.com/data/flags/us/us.gif,北美,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,7,9,11,13,18,23,26,28,30,32,34,36,37,38,39,40,41,43,45,47,48,49,52,59,65,70,76,81,86,93,101,109,119,136,149,249,320,383,440,488,528,561,589,618,641,663,684,702,719,735,749,762,776,789,801,824,824,824
MR,毛里塔尼亚,其他,https://www.fluentpython.com/data/flags/mr/mr.gif,非洲,Mauritania,0,0,2,2,2,4,4,4,4,4,9,9,11,11,13,13,15,17,17,17,17,17,17,17,17,17,22,24,24,24,26,28,28,30,30,30,32,34,38,38,40,40,42,46,48,48,53,53,53,53,55,57,64,69,69,79,81,92,99,107,107,110,118,125,129,129,143,153,253,353,409,468,512,560,608,637,658,685,699,714,727,746,757,764,776,787,809,820,820,820,820
SK,斯洛伐克,其他,https://www.fluentpython.com/data/flags/sk/sk.gif,欧洲,Slovakia,0,0,1,2,3,4,5,6,6,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,35,38,43,48,53,56,59,61,63,65,67,68,69,71,73,75,77,80,82,84,89,93,97,101,104,107,110,114,118,123,136,145,245,320,385,443,491,531,566,595,622,647,671,691,708,726,742,758,773,790,805,818,818,818,818
VN,越南,其他,https://www.fluentpython.com/data/flags/vn/vn.gif,亚洲,Vietnam,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,40,44,47,49,51,53,55,56,57,59,60,61,62,63,65,66,67,69,73,76,81,85,88,91,93,96,99,103,111,117,202,282,339,384,425,459,489,515,539,560,577,595,611,626,642,657,672,686,700,713,813,813,813
LB,黎巴嫩,其他,https://www.fluentpython.com/data/flags/lb/lb.gif,亚洲,Lebanon,0,0,1,1,2,3,4,5,6,6,8,9,10,11,12,14,15,16,17,18,18,19,20,21,22,22,23,24,25,26,26,28,29,32,33,36,39,41,43,45,47,49,53,55,57,60,61,63,64,66,67,68,69,70,71,78,100,120,134,144,150,158,164,175,185,196,211,218,318,388,447,501,538,569,600,621,647,669,696,712,727,740,751,766,782,793,802,809,809,809,809
BG,保加利亚,其他,https://www.fluentpython.com/data/flags/bg/bg.gif,欧洲,Bulgaria,0,0,0,1,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,17,18,19,19,20,20,21,22,23,24,25,26,27,28,30,32,34,38,42,49,52,54,57,59,60,61,62,64,65,66,68,69,70,71,72,74,78,83,88,92,95,98,102,109,115,122,134,144,244,317,379,433,480,515,550,582,609,632,655,677,696,713,728,743,760,776,791,805,805,805,805
ID,印度尼西亚,其他,https://www.fluentpython.com/data/flags/id/id.gif,亚洲,Indonesia,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,6,7,8,9,10,12,14,17,21,24,28,31,33,35,37,38,40,41,42,44,46,48,49,51,54,57,62,72,81,86,90,94,98,102,108,113,213,308,371,427,473,511,546,580,609,634,655,673,690,706,722,736,752,767,780,791,801,801,801
NP,尼泊尔,其他,https://www.fluentpython.com/data/flags/np/np.gif,亚洲,Nepal,0,0,0,1,2,2,3,4,4,5,6,7,7,8,9,9,9,9,10,11,12,13,13,13,13,14,14,15,16,17,17,18,19,19,20,21,22,23,25,25,26,27,30,31,32,33,35,35,35,36,37,38,38,38,39,40,43,46,51,56,60,63,66,69,71,74,81,93,166,266,350,406,457,503,546,583,618,644,661,681,698,718,735,746,760,775,788,800,800,800,800
MA,摩洛哥,其他,https://www.fluentpython.com/data/flags/ma/ma.gif,非洲,Morocco,0,0,1,2,3,4,5,6,6,7,8,9,9,10,11,12,13,14,14,14,15,16,16,17,18,19,20,21,22,23,23,24,25,26,27,29,30,31,33,35,37,39,40,41,43,44,45,46,47,48,50,52,53,54,55,60,87,110,132,144,151,157,163,169,175,183,192,200,300,363,420,466,510,546,578,607,634,660,680,700,716,728,738,749,762,774,785,795,795,795,795
NE,尼日尔,其他,https://www.fluentpython.com/data/flags/ne/ne.gif,非洲,Niger,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,14,14,16,18,22,29,29,29,29,29,29,31,34,34,34,34,34,34,34,39,39,44,47,47,52,52,59,59,64,69,76,81,83,140,240,304,376,428,470,512,555,583,615,643,672,702,728,743,753,761,769,785,792,792,792,792
PR,波多黎各,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Puerto_Rico.svg/250px-Flag_of_Puerto_Rico.svg.png,北美,Puerto Rico,0,0,0,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,7,8,9,10,11,12,14,16,21,27,33,36,39,41,43,45,46,48,51,52,53,55,57,58,59,60,64,71,79,83,89,93,98,103,114,118,126,139,150,250,310,356,408,445,480,508,533,560,580,603,621,637,653,666,677,690,705,717,726,792,792,792
ZM,赞比亚,其他,https://www.fluentpython.com/data/flags/zm/zm.gif,非洲,Zambia,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,7,7,8,10,11,13,14,14,14,14,14,14,15,15,16,16,17,19,20,20,20,22,24,27,29,31,34,38,43,122,222,294,361,410,471,509,549,578,605,627,651,674,694,716,735,749,763,777,792,792,792,792
PH,菲律宾,其他,https://www.fluentpython.com/data/flags/ph/ph.gif,亚洲,Philippines,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,7,8,9,10,11,12,13,15,17,20,23,25,27,28,29,30,32,34,35,36,37,39,41,42,43,45,50,55,60,66,70,74,78,86,92,97,114,128,222,322,402,465,513,548,577,598,620,637,653,668,681,694,707,718,729,739,748,758,787,787,787
SO,索马里,其他,https://www.fluentpython.com/data/flags/so/so.gif,非洲,Somalia,0,0,0,3,3,4,4,7,7,7,8,8,8,11,11,11,12,12,12,12,13,14,14,14,14,14,17,17,17,17,18,18,19,20,22,22,22,22,24,28,30,30,30,30,30,30,30,30,34,36,38,40,40,40,40,42,44,55,62,72,79,82,86,91,96,109,118,128,224,324,400,467,499,556,593,613,632,665,680,690,703,720,723,735,747,762,781,786,786,786,786
SN,塞内加尔,其他,https://www.fluentpython.com/data/flags/sn/sn.gif,非洲,Senegal,0,0,0,1,2,2,3,4,4,5,5,5,5,5,5,5,7,7,8,9,10,10,11,14,14,15,15,15,16,17,18,18,18,18,18,18,19,21,22,23,24,25,25,28,29,30,30,32,34,35,37,40,40,41,41,44,48,50,53,55,56,57,60,68,70,75,79,84,184,281,349,393,436,479,520,551,583,607,633,653,672,690,709,722,736,748,768,781,781,781,781
JO,约旦,其他,https://www.fluentpython.com/data/flags/jo/jo.gif,亚洲,Jordan,0,0,1,2,3,4,6,7,8,9,10,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,35,36,37,39,41,42,44,47,50,51,53,55,57,58,60,61,63,65,66,67,68,79,107,127,143,154,162,166,173,182,187,197,206,214,314,393,454,495,532,562,586,605,635,654,674,688,702,714,727,738,748,760,770,779,779,779,779
BW,博兹瓦那,其他,https://www.fluentpython.com/data/flags/bw/bw.gif,非洲,Botswana,0,0,0,0,2,2,2,2,2,4,4,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,14,14,17,19,23,23,26,27,28,28,31,35,35,35,36,36,38,38,38,39,39,40,43,50,54,57,57,57,62,62,67,70,77,86,92,192,279,344,406,452,496,525,556,589,608,627,650,678,694,710,724,735,746,762,776,776,776,776
HU,匈牙利,其他,https://www.fluentpython.com/data/flags/hu/hu.gif,欧洲,Hungary,0,0,1,2,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,15,16,17,18,19,20,20,21,22,23,24,24,25,26,27,28,29,30,32,34,37,39,42,44,46,47,48,49,50,51,52,53,54,55,56,57,58,61,66,71,78,84,87,90,95,100,105,118,130,230,301,357,407,458,499,535,566,592,615,636,657,674,690,705,719,733,746,757,768,768,768,768
KE,肯尼亚,其他,https://www.fluentpython.com/data/flags/ke/ke.gif,非洲,Kenya,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,30,33,37,41,43,45,48,52,56,60,70,77,153,253,322,393,449,496,537,569,597,620,639,658,674,689,703,718,729,742,757,768,768,768,768
TZ,坦桑尼亚,其他,https://www.fluentpython.com/data/flags/tz/tz.gif,非洲,Tanzania,0,0,1,1,1,1,1,2,3,3,3,3,3,3,4,5,6,6,6,7,8,8,8,9,10,11,12,13,13,14,14,15,16,17,19,20,22,23,25,27,29,31,32,33,35,37,38,38,40,41,42,43,44,46,48,50,55,59,62,64,67,68,71,74,76,81,88,94,169,269,344,406,456,495,530,563,589,613,635,654,670,687,701,716,727,737,752,764,764,764,764
GR,希腊,其他,https://www.fluentpython.com/data/flags/gr/gr.gif,欧洲,Greece,0,0,0,0,0,0,1,2,3,3,3,3,3,4,5,6,6,6,6,7,7,7,8,8,8,8,8,9,9,9,9,9,9,10,12,14,15,17,19,21,23,24,26,27,28,29,30,31,32,34,36,38,39,40,41,43,50,56,68,78,84,89,94,101,106,116,129,141,241,304,362,416,460,494,521,544,565,585,605,624,639,651,663,674,684,695,704,712,762,762,762
RS,塞尔维亚,其他,https://www.fluentpython.com/data/flags/rs/rs.gif,欧洲,Serbia,0,0,0,1,2,2,3,4,5,6,6,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,10,11,11,11,12,13,14,15,16,18,20,23,26,29,31,33,35,36,37,38,40,42,43,44,46,47,48,49,50,52,56,60,66,72,76,79,83,89,95,104,119,130,230,299,353,401,440,474,507,535,558,578,597,615,630,644,656,670,683,697,708,721,762,762,762
SG,新加坡,其他,https://www.fluentpython.com/data/flags/sg/sg.gif,亚洲,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,7,10,13,16,17,19,20,22,23,25,26,27,28,30,31,32,33,34,35,40,46,55,62,66,71,76,83,90,98,116,127,227,298,361,416,461,497,529,557,582,604,625,645,663,680,696,710,722,735,748,760,760,760,760
GH,加纳,其他,https://www.fluentpython.com/data/flags/gh/gh.gif,非洲,Ghana,0,0,1,2,3,4,5,6,6,7,9,10,11,12,13,14,15,15,16,17,18,18,18,19,20,21,22,22,23,23,23,24,25,26,27,28,29,30,32,34,36,37,38,40,41,42,44,45,46,46,47,48,49,50,52,55,58,60,63,65,67,69,72,74,76,78,83,87,163,263,344,409,459,497,537,567,594,615,632,651,666,681,695,709,724,738,749,757,757,757,757
IN,印度,其他,https://www.fluentpython.com/data/flags/in/in.gif,亚洲,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,27,33,43,49,55,60,66,74,82,97,108,208,284,341,394,442,491,534,568,596,619,640,659,675,690,701,709,717,725,732,739,752,752,752
CM,喀麦隆,其他,https://www.fluentpython.com/data/flags/cm/cm.gif,非洲,Cameroon,0,0,1,1,2,2,2,3,3,4,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,8,9,9,9,9,9,10,11,12,13,15,15,16,16,16,16,16,16,18,19,19,19,20,20,20,20,20,20,22,24,25,25,28,32,34,35,36,37,40,44,48,51,53,128,228,284,335,394,436,472,504,539,567,593,624,644,662,682,698,711,721,737,751,751,751,751
OM,阿曼,其他,https://www.fluentpython.com/data/flags/om/om.gif,亚洲,Oman,0,0,1,2,3,5,6,6,7,7,7,8,8,10,12,12,14,15,16,17,18,18,19,19,21,21,23,24,25,26,27,28,28,29,31,33,34,36,41,44,47,50,53,55,56,57,59,61,62,64,66,67,69,71,72,81,113,134,145,158,164,167,172,175,181,187,196,202,302,375,432,468,508,545,575,598,619,636,650,664,676,688,702,714,725,733,742,748,748,748,748
CY,塞浦路斯,其他,https://www.fluentpython.com/data/flags/cy/cy.gif,亚洲,Cyprus,0,0,1,2,3,4,5,5,6,6,7,8,10,12,13,14,15,16,16,17,18,19,20,21,23,24,25,26,28,30,31,33,34,37,39,41,43,46,50,53,56,58,60,63,65,66,67,68,70,73,76,78,80,81,82,86,94,105,114,123,130,136,142,150,159,168,184,195,295,360,411,457,495,526,554,578,600,615,634,649,665,678,689,701,714,727,737,747,747,747,747
AE,阿联酋,其他,https://www.fluentpython.com/data/flags/ae/ae.gif,亚洲,United Arab Emirates,0,0,1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,38,40,43,46,49,52,54,57,59,61,63,65,67,69,70,72,74,75,76,77,80,89,99,108,117,123,130,137,147,154,163,179,190,290,362,414,460,499,533,565,589,613,632,649,663,676,688,699,711,722,732,740,747,747,747,747
DK,丹麦,其他,https://www.fluentpython.com/data/flags/dk/dk.gif,欧洲,Denmark,0,0,1,2,3,4,5,6,7,7,8,9,10,11,11,12,13,14,14,15,16,17,18,19,20,21,22,23,25,27,29,31,34,36,38,40,42,44,46,48,51,52,54,57,59,61,63,65,66,67,69,71,74,76,78,84,90,95,101,106,110,114,118,127,133,138,151,161,261,319,371,417,457,490,518,542,567,589,611,626,643,658,672,685,706,722,734,746,746,746,746
QA,卡塔尔,其他,https://www.fluentpython.com/data/flags/qa/qa.gif,亚洲,Qatar,0,0,0,0,1,2,2,4,5,6,7,8,8,8,8,8,9,9,10,10,11,12,12,13,14,15,16,16,16,17,18,19,20,22,23,24,25,27,30,32,35,38,40,42,44,45,46,47,48,50,51,52,53,54,55,60,69,80,88,98,103,109,116,127,135,146,160,172,272,349,408,452,492,531,562,586,606,625,641,655,669,683,692,700,710,721,729,736,736,736,736
KW,科威特,其他,https://www.fluentpython.com/data/flags/kw/kw.gif,亚洲,Kuwait,0,0,0,1,2,3,4,4,5,5,6,7,8,9,10,10,11,11,11,12,13,14,14,15,16,16,17,18,18,19,21,22,23,23,24,26,27,30,33,37,40,44,46,48,50,52,53,55,56,58,60,62,63,64,66,79,107,129,145,157,164,170,179,185,192,199,210,218,318,379,432,470,513,545,579,598,621,637,651,666,676,686,692,701,709,716,722,729,729,729,729
LS,莱索托,其他,https://www.fluentpython.com/data/flags/ls/ls.gif,非洲,Lesotho,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,8,8,10,10,10,13,17,17,19,19,19,19,19,21,23,23,23,23,23,28,28,28,28,28,28,28,28,28,30,34,37,40,40,43,50,52,54,154,226,285,356,414,456,489,528,549,574,584,601,619,638,648,664,675,690,711,719,719,719,719
DZ,阿尔及利亚,其他,https://www.fluentpython.com/data/flags/dz/dz.gif,非洲,Algeria,0,0,1,2,3,4,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,38,40,41,42,45,47,50,51,53,54,56,58,59,61,63,64,64,66,68,70,71,75,84,92,99,106,110,114,120,125,132,138,147,154,254,323,377,420,455,487,514,540,567,585,603,620,635,647,659,671,683,695,707,717,717,717,717
TL,东帝汶,其他,https://www.fluentpython.com/data/flags/tl/tl.gif,亚洲,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,24,24,32,32,32,44,44,44,48,48,48,62,74,107,207,286,353,422,464,480,519,561,573,596,616,635,659,667,675,704,708,712,712,712,712
SA,沙特阿拉伯,其他,https://www.fluentpython.com/data/flags/sa/sa.gif,亚洲,Saudi Arabia,0,0,1,2,3,4,5,6,6,7,8,9,10,11,11,11,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,35,38,41,43,45,47,49,50,52,53,55,56,57,58,59,61,62,63,70,92,111,124,134,142,147,153,160,164,171,181,188,288,363,410,443,470,493,515,533,550,564,577,587,596,605,612,622,632,640,646,653,708,708,708
