alpha_2,region,,flag,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06
KZ,哈萨克斯坦,其他,https://www.fluentpython.com/data/flags/kz/kz.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,121,221,221,253,253,253,253,253,278,305,305,337,337,337,337,337,363,363,363,363,363,363,363,363,363,363
MN,蒙古,其他,https://www.fluentpython.com/data/flags/mn/mn.gif,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,82,82,138,138,180,180,180,222,222,222,322,322,322,322,322,322,322,322,322,361,361,361,361,361,361
GB,英国,其他,https://www.fluentpython.com/data/flags/gb/gb.gif,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,7,8,9,11,12,13,13,14,15,17,19,23,27,51,151,180,192,202,211,217,228,248,253,263,310,322,337,344,348,350,352,353,354,355,355,355,356,357,357,357,357
BW,博兹瓦那,其他,https://www.fluentpython.com/data/flags/bw/bw.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,77,77,77,156,156,156,156,156,156,156,156,156,156,254,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
UG,乌干达,其他,https://www.fluentpython.com/data/flags/ug/ug.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,189,189,273,273,273,273,273,273,273,273,273,273,353,353,353,353,353,353,353,353,353,353,353,353,353,353,353
CR,哥斯达黎加,其他,https://www.fluentpython.com/data/flags/cr/cr.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,143,191,191,191,191,191,191,191,291,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349
PY,巴拉圭,其他,https://www.fluentpython.com/data/flags/py/py.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,171,171,171,171,171,171,171,171,271,271,271,349,349,349,349,349,349,349,349,349,349,349,349,349
IE,爱尔兰,其他,https://www.fluentpython.com/data/flags/ie/ie.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,21,21,26,43,143,160,177,191,201,211,233,246,259,268,303,313,323,327,327,327,327,331,336,336,336,336,336,336,336,336,336
LA,老挝,其他,https://www.fluentpython.com/data/flags/la/la.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,139,139,239,239,239,239,239,284,284,284,284,284,331,331,331,331,331,331,331,331,331,331,331,331,331
RS,塞尔维亚,其他,https://www.fluentpython.com/data/flags/rs/rs.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,59,159,180,180,180,180,180,202,202,202,245,268,290,290,329,329,329,329,329,329,329,329,329,329,329,329,329
LT,立陶宛,其他,https://www.fluentpython.com/data/flags/lt/lt.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,151,151,151,151,151,151,151,216,269,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327
LU,卢森堡,其他,https://www.fluentpython.com/data/flags/lu/lu.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,40,40,40,40,64,64,64,164,217,234,234,234,234,234,234,234,271,271,296,296,296,296,313,313,313,313,313,313,313,313,313,313,313,313
AE,阿联酋,其他,https://www.fluentpython.com/data/flags/ae/ae.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,122,162,176,176,200,224,231,231,238,238,245,269,293,307,307,307,307,307,307,307,307,307,307,307,307,307,307
DO,多米尼加共和国,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/206px-Flag_of_the_Dominican_Republic.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,196,196,196,253,253,253,253,253,253,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
EC,厄瓜多尔,其他,https://www.fluentpython.com/data/flags/ec/ec.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,133,167,167,167,217,217,217,217,217,252,252,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
NG,尼日利亚,其他,https://www.fluentpython.com/data/flags/ng/ng.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,67,163,263,263,263,263,263,263,263,263,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
TZ,坦桑尼亚,其他,https://www.fluentpython.com/data/flags/tz/tz.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,199,199,199,298,298,298,298,298,298,298,298,298,298,298,298,298
PK,巴基斯坦,其他,https://www.fluentpython.com/data/flags/pk/pk.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,165,165,200,200,200,200,200,200,200,234,234,234,265,296,296,296,296,296,296,296,296,296,296,296,296
MA,摩洛哥,其他,https://www.fluentpython.com/data/flags/ma/ma.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,289,289,289,289,289,289,289,289,289,289,289,289
BA,波斯尼亚和黑塞哥维那,其他,https://www.fluentpython.com/data/flags/ba/ba.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,193,193,193,193,193,193,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287
GE,格鲁吉亚,其他,https://www.fluentpython.com/data/flags/ge/ge.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,187,187,187,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287
AD,安道尔,其他,https://www.fluentpython.com/data/flags/ad/ad.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,192,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286
AZ,阿塞拜疆,其他,https://www.fluentpython.com/data/flags/az/az.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,185,185,185,185,185,185,185,185,185,185,185,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
GH,加纳,其他,https://www.fluentpython.com/data/flags/gh/gh.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,85,85,85,85,85,85,85,185,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
AO,安哥拉,其他,https://www.fluentpython.com/data/flags/ao/ao.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66,117,217,217,217,217,217,217,217,217,217,217,217,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283
BE,比利时,其他,https://www.fluentpython.com/data/flags/be/be.gif,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,11,11,13,15,17,22,44,144,170,187,198,206,210,215,222,224,231,249,253,264,274,274,276,278,281,281,281,281,281,281,281,281,281,281
BS,巴哈马,其他,https://www.fluentpython.com/data/flags/bs/bs.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,175,175,175,175,175,175,175,175,175,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
HU,匈牙利,其他,https://www.fluentpython.com/data/flags/hu/hu.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,15,15,15,15,115,125,134,144,155,171,180,207,216,216,236,247,263,263,263,268,268,268,268,268,268,268,272,272,272,272,272
EG,埃及,其他,https://www.fluentpython.com/data/flags/eg/eg.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,185,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
LI,列支敦士登,其他,https://www.fluentpython.com/data/flags/li/li.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,183,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
GT,瓜地马拉,其他,https://www.fluentpython.com/data/flags/gt/gt.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,150,150,150,215,215,215,215,215,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
VE,委内瑞拉,其他,https://www.fluentpython.com/data/flags/ve/ve.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,267,267,267,267,267,267,267
LK,斯里兰卡,其他,https://www.fluentpython.com/data/flags/lk/lk.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52,52,52,152,152,152,152,152,208,208,260,260,260,260,260,260,260,260,260,260,260,260,260,260
BM,百慕大,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/250px-Flag_of_Bermuda.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,150,199,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
TT,特立尼达和多巴哥,其他,https://www.fluentpython.com/data/flags/tt/tt.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,144,144,144,144,144,144,144,144,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244
HR,克罗地亚,其他,https://www.fluentpython.com/data/flags/hr/hr.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,26,26,26,33,133,165,173,173,173,183,190,190,205,213,230,230,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
QA,卡塔尔,其他,https://www.fluentpython.com/data/flags/qa/qa.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,149,149,149,149,149,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235
MU,毛里求斯,其他,https://www.fluentpython.com/data/flags/mu/mu.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,122,122,122,122,122,122,122,122,122,122,122,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
RO,罗马尼亚,其他,https://www.fluentpython.com/data/flags/ro/ro.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41,41,41,141,164,176,188,188,188,188,199,199,199,199,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
PA,巴拿马,其他,https://www.fluentpython.com/data/flags/pa/pa.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,161,161,161,161,185,185,185,185,185,185,185,185,205,205,205,205,205,205,205,205,205,205,205,205,205,205
UY,乌拉圭,其他,https://www.fluentpython.com/data/flags/uy/uy.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,101,101,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
BY,白俄罗斯,其他,https://www.fluentpython.com/data/flags/by/by.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
HN,洪都拉斯,其他,https://www.fluentpython.com/data/flags/hn/hn.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,198,198,198,198,198,198,198,198,198,198,198,198
IQ,伊拉克,其他,https://www.fluentpython.com/data/flags/iq/iq.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,198,198,198,198,198,198,198,198,198,198,198,198,198,198
KW,科威特,其他,https://www.fluentpython.com/data/flags/kw/kw.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,96,96,96,96,96,96,196,196,196,196,196,196,196,196,196,196
LB,黎巴嫩,其他,https://www.fluentpython.com/data/flags/lb/lb.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,146,146,146,146,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
DZ,阿尔及利亚,其他,https://www.fluentpython.com/data/flags/dz/dz.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
UZ,乌兹别克斯坦,其他,https://www.fluentpython.com/data/flags/uz/uz.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,95,95,95,95,95,95,95,195,195
ET,埃塞俄比亚,其他,https://www.fluentpython.com/data/flags/et/et.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,194,194,194,194,194,194,194,194,194,194,194
XK,科索沃,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/200px-Flag_of_Kosovo.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,194,194,194,194,194,194,194,194,194
SN,塞内加尔,其他,https://www.fluentpython.com/data/flags/sn/sn.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
IS,冰岛,其他,https://www.fluentpython.com/data/flags/is/is.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
RE,留尼汪,其他,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Proposed_flag_of_R%C3%A9union_%28VAR%29.svg/240px-Proposed_flag_of_R%C3%A9union_%28VAR%29.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
MV,马尔代夫,其他,https://www.fluentpython.com/data/flags/mv/mv.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187
JO,约旦,其他,https://www.fluentpython.com/data/flags/jo/jo.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,185,185,185,185,185,185,185,185,185,185,185,185,185,185
PF,法属玻利尼西亚,其他,https://upload.wikimedia.org/wikipedia/commons/5/53/Map_OC-Polynesia-zh.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,83,83,83,83,83,83,83,83,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
NA,纳米比亚,其他,https://www.fluentpython.com/data/flags/na/na.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
LV,拉脱维亚,其他,https://www.fluentpython.com/data/flags/lv/lv.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,125,125,125,151,151,151,151,151,151,151,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178
BD,孟加拉,其他,https://www.fluentpython.com/data/flags/bd/bd.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
MT,马尔他,其他,https://www.fluentpython.com/data/flags/mt/mt.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
